numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.004,0.929357142857136,0.010428616198616198,0.013153134796238242
2,0.0,0.9292499999999925,3.552713678800501E-18,0.0
3,0.0,0.9343571428571338,3.552713678800501E-18,0.0
4,0.0,0.9292142857142794,3.552713678800501E-18,0.0
5,0.0,0.9301785714285664,3.552713678800501E-18,0.0
6,0.0,0.9327499999999931,3.552713678800501E-18,0.0
7,0.0,0.9309285714285638,3.552713678800501E-18,0.0
8,0.0,0.9318928571428505,3.552713678800501E-18,0.0
9,0.001,0.9345357142857055,0.0010000000000000035,0.001
10,0.0,0.9313214285714274,6.666666666666702E-4,0.001
11,0.0,0.9274642857142886,3.552713678800501E-18,0.0
12,0.006,0.9305357142857147,0.03543333333333333,0.04641904761904761
13,0.02,0.9275714285714304,0.04694999999999999,0.05713809523809513
14,0.025,0.9239285714285738,0.05049285714285715,0.06088809523809515
15,0.085,0.9262857142857195,0.17049285714285717,0.20436904761904723
16,0.028,0.927821428571429,0.05738333333333331,0.06908571428571403
17,0.064,0.925428571428575,0.11646666666666657,0.1378285714285712
18,0.064,0.9258571428571465,0.11724285714285705,0.1392357142857141
19,0.022,0.9241785714285751,0.05106666666666671,0.06230476190476158
20,0.007,0.9295714285714278,0.01276666666666669,0.015038095238094951
21,0.002,0.9257500000000003,0.010028571428571446,0.013713492063491789
22,0.002,0.9287499999999997,0.006200000000000019,0.008228571428571148
23,0.001,0.9274285714285728,0.003566666666666686,0.004523809523809244
24,0.001,0.9264642857142876,0.008966666666666689,0.011928571428571148
25,0.002,0.9255714285714295,0.007166666666666691,0.009299999999999718
26,0.003,0.9282857142857147,0.007633333333333355,0.009633333333333055
27,0.005,0.9261071428571445,0.01324761904761907,0.016687301587301306
28,0.009,0.9277500000000014,0.020586904761904775,0.025593650793650516
29,0.003,0.9245714285714296,0.01321666666666668,0.0178809523809521
30,0.006,0.9302142857142855,0.019050000000000025,0.023992857142856875
31,0.023,0.9276071428571432,0.03665000000000004,0.04252380952380925
32,0.009,0.9277857142857144,0.018683333333333364,0.022766666666666407
33,0.02,0.9298928571428552,0.04423333333333338,0.054180952380952094
34,0.011,0.9253571428571444,0.031642857142857236,0.04039285714285689
35,0.009,0.924964285714287,0.024133333333333437,0.03081904761904738
36,0.004,0.9304642857142841,0.019702380952381065,0.025461111111110886
37,0.038,0.9277142857142872,0.07417500000000012,0.0882126984126982
38,0.029,0.9280000000000026,0.07301666666666676,0.09001428571428553
39,0.049,0.9248928571428603,0.10219642857142867,0.12367243867243867
40,0.023,0.9194285714285774,0.054826984126984224,0.06815649350649318
41,0.006,0.927178571428572,0.022176190476190575,0.028649999999999717
42,0.014,0.9266785714285719,0.032950000000000104,0.040885714285714
43,0.013,0.923428571428572,0.03386904761904774,0.042858730158729874
44,0.02,0.9245357142857169,0.045750000000000145,0.056842857142856834
45,0.007,0.9232500000000013,0.027704761904762024,0.03653015873015843
46,0.01,0.9266785714285724,0.02800833333333346,0.03548412698412669
47,0.013,0.9242857142857154,0.03480952380952393,0.043654761904761606
48,0.008,0.9262500000000019,0.02711904761904773,0.034866666666666365
49,0.007,0.9254642857142873,0.02101904761904773,0.026942857142856845
50,0.016,0.9268571428571445,0.0402857142857144,0.05019999999999967
51,0.025,0.9262857142857162,0.0633833333333335,0.07919523809523779
52,0.016,0.9276428571428578,0.03518333333333345,0.04351904761904736
53,0.014,0.9232500000000045,0.03360000000000012,0.041947619047618796
54,0.03,0.923892857142859,0.06838333333333346,0.08418095238095218
55,0.017,0.9225357142857159,0.05056190476190482,0.06480714285714265
56,0.021,0.922214285714288,0.060800000000000076,0.07761428571428552
57,0.062,0.9247500000000038,0.11820476190476194,0.14232698412698402
58,0.097,0.933535714285716,0.16404285714285727,0.1912404761904758
59,0.057,0.9287142857142882,0.11675000000000013,0.14110952380952352
60,0.048,0.9205357142857188,0.14447500000000002,0.1849793650793648
61,0.06,0.9288928571428601,0.1309333333333331,0.15843333333333265
62,0.026,0.9237857142857165,0.06424999999999992,0.08069999999999923
63,0.018,0.9288571428571444,0.047384523809523696,0.05890555555555469
64,0.014,0.9260357142857167,0.03317619047619036,0.04110238095238014
65,0.022,0.9265000000000013,0.06248333333333328,0.0794714285714278
66,0.044,0.9219642857142896,0.09627619047619049,0.11683095238095172
67,0.026,0.9252142857142868,0.07676666666666662,0.0980095238095232
68,0.012,0.9220714285714311,0.04357619047619043,0.057978571428570644
69,0.015,0.924678571428574,0.05012619047619036,0.06404523809523736
70,0.023,0.9291428571428576,0.04829999999999989,0.059052380952380266
71,0.016,0.9250714285714303,0.049966666666666555,0.06332380952380881
72,0.073,0.9306071428571446,0.14510952380952366,0.17228809523809452
73,0.04,0.9250357142857186,0.09981709956709958,0.12520714285714246
74,0.021,0.9232500000000035,0.06723095238095246,0.08686904761904714
