numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.012,0.934545454545459,0.01458095238095238,0.015774891774891775
2,0.0,0.9461818181818229,1.7763568394002505E-18,-4.440892098500626E-19
3,0.0,0.9480000000000055,1.7763568394002505E-18,-4.440892098500626E-19
4,0.0,0.944727272727277,1.7763568394002505E-18,-4.440892098500626E-19
5,0.0,0.9450909090909132,1.7763568394002505E-18,-4.440892098500626E-19
6,0.0,0.9461818181818227,0.0020000000000000018,0.002666666666666666
7,0.008,0.9452727272727315,0.010000000000000002,0.010666666666666666
8,0.004,0.9443636363636404,0.008000000000000002,0.009333333333333332
9,0.016,0.9465454545454586,0.02,0.021333333333333333
10,0.012,0.9496363636363688,0.014,0.014666666666666665
11,0.008,0.9478181818181869,0.015333333333333334,0.017999999999999995
12,0.016,0.9470909090909136,0.022000000000000002,0.023999999999999994
13,0.028,0.9465454545454585,0.035333333333333335,0.03799999999999999
14,0.04,0.9474545454545494,0.046,0.047999999999999994
15,0.04,0.9481818181818223,0.046,0.04799999999999999
